EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11100593;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718926.915;1088008.949;0;101340095;10139140;Viale Stazione;14;IT;6817;0;Maroggia;2718926.915;1088008.949;0;2021-07-19 00:00:00
11100594;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718883.78;1088096.75;0;101340094;10139140;Viale Stazione;1;IT;6817;0;Maroggia;2718883.78;1088096.75;0;2021-07-19 00:00:00
11100594;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718883.78;1088096.75;1;101891960;10139140;Viale Stazione;3;IT;6817;0;Maroggia;2718883.78;1088096.75;0;2021-07-19 00:00:00
11100596;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719319.197;1088473.713;0;101346973;10139139;Via Val Mara;10;IT;6817;0;Maroggia;2719319.197;1088473.713;0;2021-07-19 00:00:00
11143425;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718613.186;1088599.753;0;102186267;10138436;Viale Baldassarre Longhena;16;IT;6817;0;Maroggia;2718613.186;1088599.753;0;2021-07-19 00:00:00
11143426;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718981.569;1088610.271;0;101246316;10128277;Piazzo frazione;1;IT;6817;0;Maroggia;2718981.569;1088610.271;0;2021-07-19 00:00:00
11143427;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719148.196;1088673.721;0;101246317;10128277;Piazzo frazione;15;IT;6817;0;Maroggia;2719148.196;1088673.721;0;2021-07-19 00:00:00
11143428;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719004.7;1088453.28;0;101246318;10138434;Via al Vallone;3;IT;6817;0;Maroggia;2719004.7;1088453.28;0;2021-07-19 00:00:00
11143429;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719018.191;1088418.731;0;101246319;10138434;Via al Vallone;1;IT;6817;0;Maroggia;2719018.191;1088418.731;0;2021-07-19 00:00:00
11143430;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719170.61;1088596.54;0;101246320;10128277;Piazzo frazione;14;IT;6817;0;Maroggia;2719170.61;1088596.54;0;2021-07-19 00:00:00
