index;geometry;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot
0;POINT (714683.7 98412.60000000001);11100538;433d;DPSSP 820;Via Cantonale 8;Manno;6928;Manno;1060;1110.0;8011.0;3652.0;3.0;2714683.76;1098412.59;10956.0;154;1687224.0;14;153384.0;1840608.0
1;POINT (715169.9 99417.5);11100541;760a;Pangas;Via Violino 7;Manno;6928;Manno;1060;1230.0;8016.0;372.0;2.0;2715169.92;1099417.46;744.0;73;54312.0;7;5208.0;59520.0
2;POINT (715079.6 99486.7);11100543;687a;Garage Canonica SAGL;Via Vedeggio 3;Manno;6928;Manno;1060;1110.0;8011.0;359.0;1.0;2715079.68;1099486.66;359.0;154;55286.0;14;5026.0;60312.0
3;POINT (714743 98679.8);11100544;472a;;Via Cantonale 16e;Manno;6928;Manno;1060;1220.0;8015.0;856.0;5.0;2714743.04;1098679.76;4280.0;123;526440.0;7;29960.0;556400.0
4;POINT (714933.4 98800.60000000001);11100545;468a;Geberit SA;Via Gerre 4;Manno;6928;Manno;1060;1110.0;8011.0;576.0;2.0;2714933.46;1098800.58;1152.0;154;177408.0;14;16128.0;193536.0
5;POINT (714702.2 99415.39999999999);11100547;277a;Scuola dell'infanzia;Via Asilo 3;Manno;6928;Manno;1060;1263.0;8015.0;512.0;1.0;2714702.21;1099415.38;512.0;123;62976.0;7;3584.0;66560.0
6;POINT (714723.7 99609);11100548;216bc;scuola dell'infanzia;Via Grumo 19;Manno;6928;Manno;1060;1263.0;8011.0;286.00354609929076;2.0;2714723.74;1099608.9;572.0070921985815;131;74932.92907801417;7;4004.0496453900705;78936.97872340425
7;POINT (714895.2 99110.2);11100558;776a;;Via Cantonale 35a;Manno;6928;Manno;1060;1110.0;8011.0;342.0;4.0;2714895.22;1099110.14;1368.0;154;210672.0;14;19152.0;229824.0
8;POINT (714877.2 98977);11100560;416a;;Via Norello 1;Manno;6928;Manno;1060;1251.0;8016.0;721.0;2.0;2714877.237;1098976.967;1442.0;128;184576.0;1;1442.0;186018.0
9;POINT (714937.9 99091.7);11100561;407a;;Via Cantonale 31;Manno;6928;Manno;1060;1251.0;8017.0;654.0;3.0;2714937.91;1099091.61;1962.0;128;251136.0;1;1962.0;253098.0
10;POINT (714914.7 99014.2);11100562;415a;;Via Cantonale 27;Manno;6928;Manno;1060;1220.0;8017.0;610.0;2.0;2714914.78;1099014.16;1220.0;123;150060.0;7;8540.0;158600.0
11;POINT (714905.7 98979.2);11100568;690a;;Via Cantonale 25;Manno;6928;Manno;1060;1230.0;8011.0;205.0;1.0;2714905.74;1098979.13;205.0;73;14965.0;7;1435.0;16400.0
12;POINT (714965.4 99205.39999999999);11100569;387a;;Via Cantonale 39;Manno;6928;Manno;1060;1230.0;8011.0;388.0;1.0;2714965.43;1099205.39;388.0;73;28324.0;7;2716.0;31040.0
13;POINT (715018.3 99096.89999999999);11100570;695a;;Via Cantonale 34a;Manno;6928;Manno;1060;1230.0;8011.0;1297.0;3.0;2715018.37;1099096.85;3891.0;73;284043.0;7;27237.0;311280.0
14;POINT (714704.6 98943.3);11100573;298a;;Via Orti 3;Manno;6928;Manno;1060;1230.0;8017.0;610.0;2.0;2714704.67;1098943.24;1220.0;73;89060.0;7;8540.0;97600.0
15;POINT (714727.7 98950.3);11100574;298d;;Via Orti 1a;Manno;6928;Manno;1060;1230.0;8017.0;743.0;2.0;2714727.73;1098950.28;1486.0;73;108478.0;7;10402.0;118880.0
16;POINT (714584.2 99248);11143136;4a;Grotto Ortiga e abitazioni;Strada Regina 35;Manno;6928;Manno;1030;1121.0;8011.0;143.0;4.0;2714584.238;1099247.957;572.0;154;88088.0;21;12012.0;100100.0
17;POINT (714565.5 99231.7);11143137;6a;;Via Pinca 6;Manno;6928;Manno;1020;1110.0;8017.0;123.0;3.0;2714565.531;1099231.694;369.0;76;28044.0;14;5166.0;33210.0
18;POINT (714566.6 99218.60000000001);11143138;7a;;Via Pinca 4;Manno;6928;Manno;1020;1110.0;8012.0;138.0;3.0;2714566.667;1099218.544;414.0;149;61686.0;14;5796.0;67482.0
19;POINT (714578.2 99238.5);11143139;9a;;Strada Regina 33;Manno;6928;Manno;1020;1110.0;8012.0;90.0;3.0;2714578.22;1099238.44;270.0;149;40230.0;14;3780.0;44010.0
20;POINT (714593.2 99274);11143140;10ab;;Strada Regina 47;Manno;6928;Manno;1020;1122.0;8017.0;183.0;3.0;2714593.239;1099273.957;549.0;76;41724.0;21;11529.0;53253.0
21;POINT (714604.2 99224);11143141;19a;;Strada Regina 32;Manno;6928;Manno;1020;1122.0;8011.0;116.0;3.0;2714604.238;1099223.958;348.0;154;53592.0;21;7308.0;60900.0
22;POINT (714632.4 99240.2);11143142;29a;Casa monofamigliare o bifamigliare (105);Piazza Bironico 10;Manno;6928;Manno;1020;1110.0;8011.0;55.0;3.0;2714632.42;1099240.11;165.0;154;25410.0;14;2310.0;27720.0
23;POINT (714641.6 99265.3);11143143;30a;;Piazza Bironico 12;Manno;6928;Manno;1020;1110.0;8012.0;169.0;2.0;2714641.64;1099265.26;338.0;149;50362.0;14;4732.0;55094.0
24;POINT (714650.9 99264.3);11143144;31a;;Piazza Bironico 16;Manno;6928;Manno;1020;1110.0;8013.0;48.0;3.0;2714650.918;1099264.243;144.0;141;20304.0;14;2016.0;22320.0
25;POINT (714655.2 99262);11143145;32a;;Piazza Bironico 17;Manno;6928;Manno;1020;1110.0;8013.0;45.0;3.0;2714655.239;1099261.958;135.0;141;19035.0;14;1890.0;20925.0
26;POINT (714660.9 99288.39999999999);11143146;34a;;Via Carà 26;Manno;6928;Manno;1020;1122.0;8018.0;354.0;3.0;2714660.98;1099288.36;1062.0;60;63720.0;21;22302.0;86022.0
27;POINT (714660.2 99262.3);11143147;35a;;Piazza Bironico 18;Manno;6928;Manno;1020;1110.0;8012.0;60.0;2.0;2714660.263;1099262.292;120.0;149;17880.0;14;1680.0;19560.0
28;POINT (714628.2 99201);11143149;42ab;;Via San Rocco 2;Manno;6928;Manno;1020;1121.0;8012.0;81.0;2.0;2714628.238;1099200.959;162.0;149;24138.0;21;3402.0;27540.0
29;POINT (714618.1 99218.5);11143150;45a;;Piazza Bironico 5;Manno;6928;Manno;1020;1110.0;8013.0;93.0;2.0;2714618.16;1099218.45;186.0;141;26226.0;14;2604.0;28830.0
30;POINT (714613.2 99205);11143151;47a;;Piazza Bironico 4;Manno;6928;Manno;1020;1110.0;8012.0;52.0;2.0;2714613.238;1099204.959;104.0;149;15496.0;14;1456.0;16952.0
31;POINT (714591.2 99214);11143152;49a;;Via Pinca 3;Manno;6928;Manno;1020;1110.0;8012.0;70.0;2.0;2714591.238;1099213.958;140.0;149;20860.0;14;1960.0;22820.0
32;POINT (714627 99184.39999999999);11143153;62a;;Via Scuola Vecchia 8;Manno;6928;Manno;1020;1110.0;8012.0;81.0;2.0;2714627.082;1099184.305;162.0;149;24138.0;14;2268.0;26406.0
33;POINT (714625.2 99164);11143155;68a;;Strada Bassa 7;Manno;6928;Manno;1020;1110.0;8011.0;286.00354609929076;4.0;2714625.237;1099163.96;1144.014184397163;154;176178.1843971631;14;16016.198581560282;192194.38297872338
34;POINT (714570.2 99152);11143156;76a;;Via Lavatoio 10;Manno;6928;Manno;1020;1110.0;8012.0;29.0;3.0;2714570.236;1099151.96;87.0;149;12963.0;14;1218.0;14181.0
35;POINT (714580.2 99142);11143157;77a;;Strada Regina 25;Manno;6928;Manno;1020;1122.0;8013.0;116.0;3.0;2714580.236;1099141.96;348.0;141;49068.0;21;7308.0;56376.0
36;POINT (714560.2 99115);11143158;80a;;Via Lavatoio 4;Manno;6928;Manno;1020;1110.0;8012.0;69.0;2.0;2714560.235;1099114.96;138.0;149;20562.0;14;1932.0;22494.0
37;POINT (714573.6 99110.7);11143159;81a;;Strada Regina 19;Manno;6928;Manno;1020;1110.0;8012.0;158.0;3.0;2714573.62;1099110.67;474.0;149;70626.0;14;6636.0;77262.0
38;POINT (714595.2 99133);11143160;82a;;Strada Bassa 1;Manno;6928;Manno;1020;1121.0;8012.0;76.0;3.0;2714595.236;1099132.96;228.0;149;33972.0;21;4788.0;38760.0
39;POINT (714600.8 99141.60000000001);11143161;83a;;Strada Regina 26;Manno;6928;Manno;1020;1110.0;8012.0;84.0;3.0;2714600.81;1099141.52;252.0;149;37548.0;14;3528.0;41076.0
