index;geometry;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot;P_tot
0;POINT (715065.6 91570.39999999999);11100226;190a;;Via Figino 14;Barbengo;6917;Lugano;1060;1230.0;8014.0;175.99242531502193;2.0;2715065.62;1091570.38;351.98485063004387;73;25694.8940959932;7;2463.893954410307;28158.788050403506;16.56399297082559
1;POINT (714308.3 90158.2);11100228;77a;;Via Cantonale 48;Figino;6918;Lugano;1060;1230.0;8015.0;175.99242531502193;1.0;2714308.34;1090158.13;175.99242531502193;73;12847.4470479966;7;1231.9469772051534;14079.394025201753;8.281996485412796
2;POINT (714920.4 90490.2);11100229;976a;;Via Cantonale 25;Figino;6918;Lugano;1060;1230.0;8015.0;550.0;1.0;2714920.4;1090490.12;550.0;73;40150.0;7;3850.0;44000.0;25.88235294117647
3;POINT (715069.4 91492.39999999999);11100235;188a;;Via Garone 4;Barbengo;6917;Lugano;1060;1230.0;8015.0;760.0;1.0;2715069.42;1091492.39;760.0;73;55480.0;7;5320.0;60800.0;35.76470588235294
4;POINT (714353.8 90189);11100237;254a;Magazzini comunali;Via Mugnee 2;Figino;6918;Lugano;1060;1252.0;8015.0;842.0;1.0;2714353.88;1090188.96;842.0;0;0.0;0;0.0;0.0;0.0
5;POINT (714547.9 91004.8);11100239;812a;;Via al Municipio 21;Barbengo;6917;Lugano;1030;1122.0;8018.0;434.0;3.0;2714547.93;1091004.7;1302.0;60;78120.0;21;27342.0;105462.0;52.731
6;POINT (714616.1 90694.89999999999);11100242;322i;SCUOLA MEDIA BARBENGO;Via Soreso 6;Barbengo;6917;Lugano;1060;1263.0;8016.0;946.0;1.0;2714616.13;1090694.87;946.0;123;116358.0;7;6622.0;122980.0;72.34117647058824
7;POINT (714718.1 90498.60000000001);11100248;87a;;Via San Carlo 10;Figino;6918;Lugano;1060;1252.0;8015.0;347.0;1.0;2714718.1;1090498.51;347.0;0;0.0;0;0.0;0.0;0.0
8;POINT (714962.1 91588.7);11100259;1144e;;Via Cadepiano 28;Barbengo;6917;Lugano;1060;1220.0;8018.0;157.0;4.0;2714962.15;1091588.632;628.0;87;54636.0;7;4396.0;59032.0;34.72470588235294
9;POINT (715205.3 91559.3);11100260;194a;;Via Cantonale 16;Barbengo;6917;Lugano;1060;1230.0;8015.0;1972.0;1.0;2715205.36;1091559.21;1972.0;73;143956.0;7;13804.0;157760.0;92.8
10;POINT (715988.7 90567.5);11100314;29a;Hotel;Via Principale 53;Carona;6914;Lugano;1040;1274.0;8012.0;219.0;4.0;2715988.76;1090567.48;876.0;0;0.0;0;0.0;0.0;0.0
11;POINT (715967.1 90523.8);11100315;29b;;Via Principale 55;Carona;6914;Lugano;1060;1121.0;8012.0;124.0;1.0;2715967.143;1090523.763;124.0;149;18476.0;21;2604.0;21080.0;10.54
12;POINT (725041.4 105183.5);11100326;307e;;Moschin ;Certara;6959;Lugano;1060;1230.0;8015.0;102.0;1.0;2725041.45;1105183.42;102.0;73;7446.0;7;714.0;8160.0;4.8
13;POINT (724323.4 104313.7);11100330;210a;Laboratorio, officina (34);Cimadera ;Cimadera;6959;Lugano;1060;1251.0;8011.0;71.0;2.0;2724323.41;1104313.68;142.0;128;18176.0;1;142.0;18318.0;10.775294117647059
14;POINT (719372.6 99481.10000000001);11100389;55a;;Via al Ram 1a;Davesco-Soragno;6964;Lugano;1030;1110.0;8013.0;48.0;2.0;2719372.682;1099481.018;96.0;141;13536.0;14;1344.0;14880.0;7.44
15;POINT (719290.4 99272.60000000001);11100392;169a;;Strada Cantonale 33;Davesco-Soragno;6964;Lugano;1060;1263.0;8011.0;169.0;2.0;2719290.49;1099272.55;338.0;131;44278.0;7;2366.0;46644.0;27.43764705882353
16;POINT (716074.6 93712.5);11100704;606a;;Via alla Sguancia 11;Pazzallo;6912;Lugano;1060;1230.0;8019.0;175.99242531502193;1.0;2716074.62;1093712.4;175.99242531502193;73;12847.4470479966;7;1231.9469772051534;14079.394025201753;8.281996485412796
17;POINT (715508.5 93000.5);11100705;554a;"Iceberg"" - Casa d'appuntamenti";Via Pian Scairolo 47;Pazzallo;6912;Lugano;1040;1274.0;8017.0;349.0;3.0;2715508.55;1093000.48;1047.0;0;0.0;0;0.0;0.0;0.0
18;POINT (715707.1 93713.89999999999);11100708;112a;;Via Pian Scairolo 9;Pazzallo;6912;Lugano;1060;1220.0;8020.0;864.0;4.0;2715707.19;1093713.839;3456.0;54;186624.0;7;24192.0;210816.0;124.00941176470589
19;POINT (715650 93380.89999999999);11100712;231a;;Via Senago 17;Pazzallo;6912;Lugano;1030;1110.0;8014.0;534.0;2.0;2715650.02;1093380.81;1068.0;131;139908.0;14;14952.0;154860.0;77.43
20;POINT (724465.4 105439.1);11100876;1450a;;Maglio di Colla ;Maglio di Colla;6959;Lugano;1060;1263.0;8014.0;277.0;3.0;2724465.392;1105439.027;831.0;123;102213.0;7;5817.0;108030.0;63.54705882352941
21;POINT (724524.4 105462.1);11100877;1493a;Scuole elementari;Maglio di Colla ;Maglio di Colla;6959;Lugano;1060;1263.0;8015.0;830.0;2.0;2724524.393;1105462.026;1660.0;123;204180.0;7;11620.0;215800.0;126.94117647058823
22;POINT (724530.8 105375.7);11100881;2172a;;Maglio di Colla ;Maglio di Colla;6959;Lugano;1060;1121.0;8014.0;175.99242531502193;2.0;2724530.87;1105375.6;351.98485063004387;131;46110.01543253574;21;7391.681863230921;53501.697295766666;26.750848647883334
