,geometry,gkat,gabbj,garea,ltyp,gkode,stroffiziel,strname,gazzi,strname_deinr,esid,gkodn,dplzname,gvol,gbaum,egrid,egaid,lgbkr,dplz4,gexpdat,wbez,strnamk,strsp,dexpdat,wstat,gastw,lparzsx,gbaup,gebnr,ewid,gstat,dplzz,gdekt,dkodn,ganzwhg,doffadr,gbauj,wexpdat,gbez,deinr,gvolnorm,weinr,wstwk,gksce,gvolsce,wmehrg,label,ggdename,lparz,ggdenr,egid,plz_plz6,edid,strindx,whgnr,dkode,gklas
0,POINT (718926.9 88009),1060,,106.0,,2718926.915,1,['Viale Stazione'],,Viale Stazione 14,10139140,1088008.949,Maroggia,,,CH984602079595,101340095,0,6817,05.09.2021,,['Viale Stazione'],['IT'],05.09.2021,,2.0,,8011.0,275a,,1004,0,TI,1088008.949,,0,,,,14,,,,905,,,Viale Stazione 14,Maroggia,275,5195,11100593,6817/681700,0,['Sta'],,2718926.915,1230.0
1,POINT (719319.2 88473.8),1060,,61.0,,2719319.197,1,['Via Val Mara'],,Via Val Mara 10,10139139,1088473.713,Maroggia,,,CH454402950795,101346973,0,6817,05.09.2021,,['Via Val Mara'],['IT'],05.09.2021,,1.0,,8011.0,82a,,1004,0,TI,1088473.713,,0,,,STAND DI TIRO,10,,,,905,,,Via Val Mara 10,Maroggia,82,5195,11100596,6817/681700,0,['Mar'],,2719319.197,1274.0
2,POINT (718613.1 88599.8),1040,,302.0,,2718613.186,1,['Viale Baldassarre Longhena'],,Viale Baldassarre Longhena 16,10138436,1088599.753,Maroggia,,,CH770795440254,102186267,0,6817,05.09.2021,"['', '']",['Viale B. Longhena'],['IT'],05.09.2021,"[3004, 3004]",2.0,,8012.0,3a,"['1', '3']",1004,0,TI,1088599.753,1.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00']",,16,,"['', '']","[3100, 3100]",905,,"[1, 0]",Viale Baldassarre Longhena 16,Maroggia,3,5195,11143425,6817/681700,0,['Lon'],"['_555000037', '627']",2718613.186,
3,POINT (718981.5 88610.3),1020,,98.0,,2718981.569,1,['Piazzo frazione'],,Piazzo frazione 1,10128277,1088610.271,Maroggia,,,CH990295440751,101246316,0,6817,05.09.2021,[''],['Piazzo frazione'],['IT'],05.09.2021,[3004],2.0,,8012.0,31a,['1'],1004,0,TI,1088610.271,1.0,0,,['2021-09-05T00:00:00'],,1,,[''],[3100],905,,[0],Piazzo frazione 1,Maroggia,31,5195,11143426,6817/681700,0,['Pia'],['_555000363'],2718981.569,1110.0
4,POINT (719148.2 88673.8),1020,,117.0,,2719148.196,1,['Piazzo frazione'],,Piazzo frazione 15,10128277,1088673.721,Maroggia,,,CH930295074429,101246317,0,6817,05.09.2021,[''],['Piazzo frazione'],['IT'],05.09.2021,[3004],2.0,,8014.0,36a,['1'],1004,0,TI,1088673.721,1.0,0,1962.0,['2021-09-05T00:00:00'],,15,,[''],[3401],905,,[0],Piazzo frazione 15,Maroggia,36,5195,11143427,6817/681700,0,['Pia'],['_555000365'],2719148.196,1110.0
5,POINT (719004.7 88453.3),1020,,130.0,,2719004.7,1,['Via al Vallone'],,Via al Vallone 3,10138434,1088453.28,Maroggia,,,CH129544020731,101246318,0,6817,05.09.2021,"['', '']",['Via al Vallone'],['IT'],05.09.2021,"[3004, 3004]",2.0,,8013.0,45a,"['1', '2']",1004,0,TI,1088453.28,2.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00']",,3,,"['', '']","[3401, 3100]",905,,"[0, 0]",Via al Vallone 3,Maroggia,45,5195,11143428,6817/681700,0,['Val'],"['_555000366', '']",2719004.7,1121.0
6,POINT (719018.2 88418.8),1060,,254.0,,2719018.191,1,['Via al Vallone'],,Via al Vallone 1,10138434,1088418.731,Maroggia,,,CH154402950703,101246319,0,6817,05.09.2021,,['Via al Vallone'],['IT'],05.09.2021,,2.0,,8014.0,49a,,1004,0,TI,1088418.731,,0,,,,1,,,,905,,,Via al Vallone 1,Maroggia,49,5195,11143429,6817/681700,0,['Val'],,2719018.191,
7,POINT (719170.6 88596.60000000001),1020,,192.0,,2719170.61,1,['Piazzo frazione'],,Piazzo frazione 14,10128277,1088596.54,Maroggia,,,CH269502074496,101246320,0,6817,05.09.2021,[''],['Piazzo frazione'],['IT'],05.09.2021,[3004],2.0,,8013.0,60a,['1'],1004,0,TI,1088596.54,1.0,0,,['2021-09-05T00:00:00'],,14,,[''],[3100],905,,[1],Piazzo frazione 14,Maroggia,60,5195,11143430,6817/681700,0,['Pia'],['_555000531'],2719170.61,1110.0
8,POINT (719275.7 88335.3),1020,,46.0,,2719275.701,1,['Via Val Mara'],,Via Val Mara 9,10139139,1088335.241,Maroggia,,,CH440702954471,101246321,0,6817,05.09.2021,[''],['Via Val Mara'],['IT'],05.09.2021,[3004],2.0,,8012.0,80a,['1'],1004,0,TI,1088335.241,1.0,0,,['2021-09-05T00:00:00'],,9,,[''],[3100],905,,[1],Via Val Mara 9,Maroggia,80,5195,11143431,6817/681700,0,['Mar'],['_555000355'],2719275.701,1110.0
9,POINT (719196.3 88072.39999999999),1020,,105.0,,2719196.35,1,['Via alle Cantine'],,Via alle Cantine 1,10138435,1088072.36,Maroggia,,,CH510757029513,101246322,0,6817,05.09.2021,"['Sinistra', 'Destra', '', '', '']",['Via alle Cantine'],['IT'],05.09.2021,"[3004, 3004, 3004, 3004, 3004]",3.0,,8012.0,459a,"['2', '3', '4', '5', '6']",1004,0,TI,1088072.36,5.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,1,,"['', '', '', '', '']","[3101, 3101, 3102, 3100, 3100]",905,,"[0, 0, 0, 0, 0]",Via alle Cantine 1,Maroggia,459,5195,11143433,6817/681700,0,['Can'],"['_40', '_41', '_369', '_608', '_609']",2719196.35,1122.0
