index;geometry;length
0;LINESTRING (717860.302609019 96424.68418070009, 717876.505038088 96367.46988126129, 717894.2285858952 96296.16426122638, 717897.1816554174 96284.9248686856, 717910.1670173862 96288.91278842847, 717935.6 96257);198.95192974672534
1;LINESTRING (717860.302609019 96424.68418070009, 717943.1762970691 96437.97835586127);83.93320716044464
2;LINESTRING (717943.1762970691 96437.97835586127, 717953.0185592634 96393.53858299692, 717981.7 96380.2);77.14798771643434
3;LINESTRING (718010.2399614612 96411.22794971797, 718059.4297436333 96426.77151349165);51.58717907507998
4;LINESTRING (718059.4297436333 96426.77151349165, 718032.9 96442.8);30.995800957444164
5;LINESTRING (717834.8777392174 96559.95145605803, 717842.0833239915 96504.80858256864);55.61166198382951
6;LINESTRING (717842.0833239915 96504.80858256864, 717845.8168985986 96483.67746553222);21.45841761531803
7;LINESTRING (717845.8168985986 96483.67746553222, 717851.2895645109 96458.36606272045);25.896277425297406
8;LINESTRING (717851.2895645109 96458.36606272045, 717860.302609019 96424.68418070009);34.866949217530475
9;LINESTRING (717991.4434721799 96548.49135541049, 717992.6881228205 96536.662890195);11.89376914904863
10;LINESTRING (717992.6881228205 96536.662890195, 717994.1169466862 96524.52667573962);12.220034326725992
11;LINESTRING (717994.1169466862 96524.52667573962, 717998.9135108202 96491.37462979014);33.497241351021664
12;LINESTRING (717998.9135108202 96491.37462979014, 718003.3661474483 96454.79131500779);36.853288773263856
13;LINESTRING (718003.3661474483 96454.79131500779, 718010.2399614612 96411.22794971797);44.10233683670353
14;LINESTRING (718059.4297436333 96426.77151349165, 718088.7063832914 96437.61428618249, 718072.7 96465.60000000001);63.45977975925736
15;LINESTRING (717943.1762970691 96437.97835586127, 717972.8114380687 96442.73442517831, 717974.2 96467);54.3196310816047
16;LINESTRING (717998.9135108202 96491.37462979014, 718127.5430764935 96482.34417563789);128.94616809931657
17;LINESTRING (718127.5430764935 96482.34417563789, 718129.4800849224 96472.77519313898);9.763064463470636
