index;geometry;length
0;LINESTRING (717733.608176121 96876.70808993408, 717741.2 96845);32.604275134963586
1;LINESTRING (717733.608176121 96876.70808993408, 717774.2 96892);43.376706644031096
2;LINESTRING (717902.3638976871 96727.6980405277, 717854.3053751349 96731.0240118895);48.173474811286326
3;LINESTRING (717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414);52.840276265167596
4;LINESTRING (717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245);20.746721620635128
5;LINESTRING (717847.2113707147 96657.81369344245, 717818.6767743855 96661.87452700982);28.822101882626807
6;LINESTRING (717818.6767743855 96661.87452700982, 717816.1981736147 96644.26988673711, 717812.2544091307 96602.34227488127, 717802.883324687 96538.24973893816, 717803.0614690348 96507.48749634066, 717805.0374268553 96489.090854838, 717805.8967181939 96481.13534345441, 717812.8240523498 96481.48093420675, 717842.3589550231 96483.00997501871, 717845.8168985986 96483.67746553222, 717842.0833239915 96504.80858256864, 717866.6 96519.60000000001);272.0556239915964
7;LINESTRING (717818.6767743855 96661.87452700982, 717762.3363448125 96669.17681166025);56.81168335459523
8;LINESTRING (717762.3363448125 96669.17681166025, 717751 96693.10000000001);26.473225229430767
9;LINESTRING (717762.3363448125 96669.17681166025, 717716.1603012922 96677.68837365179);46.953952791299024
10;LINESTRING (717716.1603012922 96677.68837365179, 717706.979105699 96679.3228379225);9.325546953017957
11;LINESTRING (717706.979105699 96679.3228379225, 717634.631748917 96697.10139907479);74.49978033511012
12;LINESTRING (717634.631748917 96697.10139907479, 717670.2 96707);36.919951047817925
13;LINESTRING (717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718109.7074843335 96697.96901131078, 718155.1684743157 96705.5354332995, 718153.6553906504 96718.40381541759, 718122.8 96740.39999999999);363.1879180145213
14;LINESTRING (717634.631748917 96697.10139907479, 717628.7671228325 96698.29985736574);5.985828379345213
15;LINESTRING (717628.7671228325 96698.29985736574, 717626.043907774 96698.90313723111);2.7892376826858447
16;LINESTRING (717626.043907774 96698.90313723111, 717640.1046855451 96755.73665734123);58.5470279316871
17;LINESTRING (717640.1046855451 96755.73665734123, 717657.8 96738.7);24.563628539419028
18;LINESTRING (717640.1046855451 96755.73665734123, 717674 96763.2);34.70725897618275
19;LINESTRING (717706.979105699 96679.3228379225, 717708.4370222118 96687.64570111333);8.449590064120505
20;LINESTRING (717708.4370222118 96687.64570111333, 717716.8110069723 96736.46377150671);49.53107729195367
21;LINESTRING (717716.8110069723 96736.46377150671, 717733.608176121 96876.70808993408);141.24664152668524
22;LINESTRING (717854.3053751349 96731.0240118895, 717885.2 96744);33.50901539876745
23;LINESTRING (717854.3053751349 96731.0240118895, 717859.3154858606 96768.68048797494, 717871.2436320287 96833.89013433341, 717885.6757222359 96889.0191769026, 717898.3432970564 96934.06262313235, 717949.0772877898 96920.93772764649, 717966.2 96901);286.7429223101737
