index;geometry;length
0;LINESTRING (717871.2436320287 96833.89013433341, 717920.1438346989 96821.48547808992);50.4490368363057
1;LINESTRING (717920.1438346989 96821.48547808992, 717921.5244666106 96824.99246009922);3.7689610357697636
2;LINESTRING (717921.5244666106 96824.99246009922, 717925.3206689355 96824.18776617179);3.88055207522402
3;LINESTRING (717925.3206689355 96824.18776617179, 717925.9318963725 96830.21489841426);6.058046058576229
4;LINESTRING (717925.9318963725 96830.21489841426, 718065.6030339706 96833.86179821295);139.71874089073378
5;LINESTRING (718065.6030339706 96833.86179821295, 718044.2 96807);34.345975985272304
6;LINESTRING (718065.6030339706 96833.86179821295, 718080.2 96869);38.049502520929124
7;LINESTRING (717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037);15.376809081826696
8;LINESTRING (717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012);53.34746562363446
9;LINESTRING (717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689);11.788789535516274
10;LINESTRING (717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225);59.24914527936038
11;LINESTRING (718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219);36.4607921642598
12;LINESTRING (718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718094.2069161816 96683.13539731683, 718100.9793045996 96643.61740810893, 718120.2 96658);99.1209705284501
13;LINESTRING (718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965);3.7711395820912657
14;LINESTRING (718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224);66.52434419174669
15;LINESTRING (718065.8358293166 96761.29392601224, 718080.3 96757.8);14.880179855691507
16;LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895);33.50901539876745
17;LINESTRING (717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414);52.840276265167596
18;LINESTRING (717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245);20.746721620635128
19;LINESTRING (717847.2113707147 96657.81369344245, 717818.6767743855 96661.87452700982);28.822101882626807
20;LINESTRING (717818.6767743855 96661.87452700982, 717816.1981736147 96644.26988673711, 717812.2544091307 96602.34227488127, 717802.883324687 96538.24973893816, 717803.0614690348 96507.48749634066, 717805.0374268553 96489.090854838, 717805.8967181939 96481.13534345441, 717812.8240523498 96481.48093420675, 717842.3589550231 96483.00997501871, 717845.8168985986 96483.67746553222, 717842.0833239915 96504.80858256864, 717866.6 96519.60000000001);272.0556239915964
21;LINESTRING (717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798);15.743684927720855
22;LINESTRING (717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901);33.49507037828418
23;LINESTRING (717818.6767743855 96661.87452700982, 717762.3363448125 96669.17681166025);56.81168335459523
24;LINESTRING (717762.3363448125 96669.17681166025, 717770.2385166009 96727.52573902498, 717794.2 96767);105.05918162507511
25;LINESTRING (717762.3363448125 96669.17681166025, 717716.1603012922 96677.68837365179);46.953952791299024
26;LINESTRING (717716.1603012922 96677.68837365179, 717706.979105699 96679.3228379225);9.325546953017957
27;LINESTRING (717706.979105699 96679.3228379225, 717708.4370222118 96687.64570111333, 717716.8110069723 96736.46377150671, 717740.2 96770);98.86738422598668
28;LINESTRING (717706.979105699 96679.3228379225, 717634.631748917 96697.10139907479, 717628.7671228325 96698.29985736574, 717626.043907774 96698.90313723111, 717642.0385609693 96759.48778059256, 717656.7811728688 96815.50063696461, 717691 96821.7);238.6316242396959
29;LINESTRING (718065.8358293166 96761.29392601224, 718091.2 96790);38.30639422137357
30;LINESTRING (717854.3053751349 96731.0240118895, 717859.3154858606 96768.68048797494);37.988306104068755
31;LINESTRING (717859.3154858606 96768.68048797494, 717871.2436320287 96833.89013433341);66.29161824247076
