index;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot;P_tot;distance;geometry;path;path_length
0;191530631;1;Campus universitario USI-SUPSI;Via La Santa 1;Viganello;6962;Lugano;1060;1263.0;8023.0;6660.0;6.0;2717885.231;1096743.911;39960.0;43;1718280.0;7;279720.0;1998000.0;1175.2941176470588;23.671782071696736;POINT (717885.2 96744);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717854.3053751349 96731.0240118895, 717885.2 96744);67.0180307975349
1;11141509;1903a;Casa Rondine;Via della Madonnetta 25;Lugano;6900;Lugano;1030;1122.0;8013.0;580.0;5.0;2717751.04;1096693.06;2900.0;141;408900.0;21;60900.0;469800.0;234.9;155.26768476207076;POINT (717751 96693.10000000001);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245, 717818.6767743855 96661.87452700982, 717762.3363448125 96669.17681166025, 717751 96693.10000000001);219.203023751223
2;191796649;;Lugano Campus SA;Via Boscioro ;Viganello;6962;Lugano;1030;1122.0;8014.0;550.0;7.0;2717966.235;1096900.912;3850.0;131;504350.0;21;80850.0;585200.0;292.6;184.6851838005464;POINT (717966.2 96901);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717859.3154858606 96768.68048797494, 717871.2436320287 96833.89013433341, 717885.6757222359 96889.0191769026, 717898.3432970564 96934.06262313235, 717949.0772877898 96920.93772764649, 717966.2 96901);320.2519377089411
3;11169746;2850a;Casa anziani Casa Serena;Via Marco da Carona 10;Lugano;6900;Lugano;1040;1130.0;8014.0;1490.0;2.0;2717741.228;1096844.909;2980.0;131;390380.0;21;62580.0;452960.0;226.48;199.33276603142932;POINT (717741.2 96845);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245, 717818.6767743855 96661.87452700982, 717762.3363448125 96669.17681166025, 717716.1603012922 96677.68837365179, 717706.979105699 96679.3228379225, 717708.4370222118 96687.64570111333, 717716.8110069723 96736.46377150671, 717733.608176121 96876.70808993408, 717741.2 96845);480.84088228383223
4;738040;628a;Casa Anziani;Via Marco da Carona 12;Lugano;6900;Lugano;1040;1130.0;8015.0;383.0;10.0;2717774.23;1096891.91;3830.0;100;383000.0;21;80430.0;463430.0;231.715;208.37734655376525;POINT (717774.2 96892);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245, 717818.6767743855 96661.87452700982, 717762.3363448125 96669.17681166025, 717716.1603012922 96677.68837365179, 717706.979105699 96679.3228379225, 717708.4370222118 96687.64570111333, 717716.8110069723 96736.46377150671, 717733.608176121 96876.70808993408, 717774.2 96892);491.61331379289976
5;755355;24ff;Ospedale regionale di Lugano Italiano;Via Pietro Capelli 9;Viganello;6962;Lugano;1040;1264.0;8020.0;2884.0;4.0;2717866.66;1096519.59;11536.0;40;461440.0;28;323008.0;784448.0;356.5672727272727;211.1488831351883;POINT (717866.6 96519.60000000001);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245, 717818.6767743855 96661.87452700982, 717816.1981736147 96644.26988673711, 717812.2544091307 96602.34227488127, 717802.883324687 96538.24973893816, 717803.0614690348 96507.48749634066, 717805.0374268553 96489.090854838, 717805.8967181939 96481.13534345441, 717812.8240523498 96481.48093420675, 717842.3589550231 96483.00997501871, 717845.8168985986 96483.67746553222, 717842.0833239915 96504.80858256864, 717866.6 96519.60000000001);407.9737391587934
6;11154295;10u;Condominio Casa Alta;Via Luigi Taddei 1;Viganello;6962;Lugano;1030;1122.0;8015.0;432.0;16.0;2718122.83;1096740.35;6912.0;100;691200.0;21;145152.0;836352.0;418.176;220.80175492368403;POINT (718122.8 96740.39999999999);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718109.7074843335 96697.96901131078, 718155.1684743157 96705.5354332995, 718153.6553906504 96718.40381541759, 718122.8 96740.39999999999);470.2839312990915
7;11142065;555a;;Via Monte Brè 9;Lugano;6900;Lugano;1040;1220.0;8012.0;599.0;6.0;2717674.05;1096763.19;3594.0;157;564258.0;7;25158.0;589416.0;346.71529411764703;231.10702908651945;POINT (717674 96763.2);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245, 717818.6767743855 96661.87452700982, 717762.3363448125 96669.17681166025, 717716.1603012922 96677.68837365179, 717706.979105699 96679.3228379225, 717634.631748917 96697.10139907479, 717628.7671228325 96698.29985736574, 717626.043907774 96698.90313723111, 717642.0385609693 96759.48778059256, 717674 96763.2);427.12086040468483
8;11141508;563a;;Via Marco da Carona 1;Lugano;6900;Lugano;1030;1122.0;8012.0;544.0;5.0;2717670.225;1096706.908;2720.0;149;405280.0;21;57120.0;462400.0;231.2;233.08471479475907;POINT (717670.2 96707);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245, 717818.6767743855 96661.87452700982, 717762.3363448125 96669.17681166025, 717716.1603012922 96677.68837365179, 717706.979105699 96679.3228379225, 717634.631748917 96697.10139907479, 717670.2 96707);360.4290296490372
9;11142064;1927a;;Via Monte Brè 8;Lugano;6900;Lugano;1030;1122.0;8014.0;464.0;7.0;2717657.82;1096738.65;3248.0;131;425488.0;21;68208.0;493696.0;246.848;244.81123986470192;POINT (717657.8 96738.7);LINESTRING (717885.2 96744, 717854.3053751349 96731.0240118895, 717848.2116380333 96678.53628795414, 717847.2113707147 96657.81369344245, 717818.6767743855 96661.87452700982, 717762.3363448125 96669.17681166025, 717716.1603012922 96677.68837365179, 717706.979105699 96679.3228379225, 717634.631748917 96697.10139907479, 717628.7671228325 96698.29985736574, 717626.043907774 96698.90313723111, 717642.0385609693 96759.48778059256, 717657.8 96738.7);421.0320072459554
